"Authors","Year","Title","Journal","Volume","Issue","DOI","Number_of_Assessments","Number_Relevant","Relevance"
"Islam Md.R.","2009","Is the doomsday of international law looming around in the twenty-first century?: A response to the sceptics of efficacy of international law","Nordic Journal of International Law","78","3","10.1163/090273509X12448190941084","1","1","1.0"
"Cavallo E., Noy I.","2011","Natural disasters and the economy - A survey","International Review of Environmental and Resource Economics","5","1","10.1561/101.00000039","1","1","1.0"
"Wilde P., Quinby-Hunt M.S.","1997","Collisions with ice/volatile objects: Geological implications - A qualitative treatment","Palaeogeography, Palaeoclimatology, Palaeoecology","132","1-4","10.1016/S0031-0182(97)00050-3","1","1","1.0"
"Atkinson C.F., Alim J.K., Loader C.A., Sager J.C.","1999","Extraction and use of nutrients from composted wheat and potato plants.","Life support & biosphere science : international journal of earth space","6","2","","1","1","1.0"
"Pope K.O., Kieffer S.W., Ames D.E.","2004","Empirical and theoretical comparisons of the Chicxulub and Sudbury impact structures","Meteoritics and Planetary Science","39","1","","1","1","1.0"
"Condie K.C.","2003","Supercontinents, superplumes and continental growth: The Neoproterozoic record","Geological Society Special Publication","206","","10.1144/GSL.SP.2003.206.01.02","1","1","1.0"
"Faure M.G.","2007","Financial compensation for victims of catastrophes: A law and economics perspective","Law and Policy","29","3","10.1111/j.1467-9930.2007.00258.x","1","1","1.0"
"Dawson G.","2003","Human genome, race and medicine","Journal of the National Medical Association","95","4","","1","1","1.0"
"Stadelbauer J.","1994","The successor states of the Soviet Union. Political dissolution of an empire and problems of an economic integration of the resulting heirs [Die Nachfolgerstaaten der Sowjetunion. Politische Auflosung eines Imperiums und Probleme einer Wirtschaftsintegration in der Erbengemeinschaft)]","Geographische Rundschau","46","4","","1","1","1.0"
"Basili M., Chateauneuf A., Fontini F.","2008","Precautionary principle as a rule of choice with optimism on windfall gains and pessimism on catastrophic losses","Ecological Economics","67","3","10.1016/j.ecolecon.2007.12.030","1","1","1.0"
"Markert J.","2005","The Malthusian fallacy: Prophecies of doom and the crisis of Social Security","Social Science Journal","42","4","10.1016/j.soscij.2005.09.009","1","1","1.0"
"Attfield R.","2012","Synthetic biology, deontology and synthetic bioethics","Ethics, Policy and Environment","15","1","10.1080/21550085.2012.672681","1","1","1.0"
"McAllister T.P., Sadek F., Gross J.L., Kirkpatrick S., MacNeill R.A., Bocchieri R.T., Zarghamee M., Erbay O.O., Sarawit A.T.","2013","Structural Analysis of Impact Damage to World Trade Center Buildings 1, 2, and 7","Fire Technology","49","3","10.1007/s10694-012-0286-5","1","1","1.0"
"Butzer K.W., Endfield G.H.","2012","Critical perspectives on historical collapse","Proceedings of the National Academy of Sciences of the United States of America","109","10","10.1073/pnas.1114772109","1","1","1.0"
"Armaş I.","2012","Multi-criteria vulnerability analysis to earthquake hazard of Bucharest, Romania","Natural Hazards","63","2","10.1007/s11069-012-0209-2","1","1","1.0"
"Park K., Medina R.A.","2007","Conceptual seismic design of regular frames based on the concept of uniform damage","Journal of Structural Engineering","133","7","10.1061/(ASCE)0733-9445(2007)133:7(945)","1","1","1.0"
"Soffer A.","2000","Environmental quality and national security","Water Science and Technology","42","1-2","","1","1","1.0"
"Xu L., Zhang Q., Zhang X.","2011","Evaluating agricultural catastrophic risk","China Agricultural Economic Review","3","4","10.1108/17561371111192310","1","1","1.0"
"Torrance S.","2011","Machine ethics and the idea of a more-than-human moral world","Machine Ethics","","","10.1017/CBO9780511978036.008","1","1","1.0"
"Simpson S.W., Bob M.V., Jones C.L.","2005","Operations safety in human spaceflight","European Space Agency, (Special Publication) ESA SP","","599","","1","1","1.0"
"","1939","The collapse of civilizations","Nature","144","3644","","1","1","1.0"
"MacCormack P.","2012","Posthuman ethics: Embodiment and cultural theory","Posthuman Ethics: Embodiment and Cultural Theory","","","","1","1","1.0"
"Christensen Jr. N.L.","2011","The road to sustainable development and conservation","Frontiers in Ecology and the Environment","9","2","10.1890/1540-9295-9.2.134","1","1","1.0"
"Walker G.P.L.","1980","The Taupo pumice: Product of the most powerful known (ultraplinian) eruption?","Journal of Volcanology and Geothermal Research","8","1","10.1016/0377-0273(80)90008-6","1","1","1.0"
"Gwynne P.","2007","Clock moves two minutes closer to doom","Physics World","20","2","","1","1","1.0"
"ROGERS C.R., MALCOLM D.","1987","The Potential Contribution of the Behavioral Scientist to World Peace","Counseling and Values","32","1","10.1002/j.2161-007X.1987.tb00685.x","1","1","1.0"
"Zhang X.","2010","Heal the world: Avoiding the cosmic doomsday in the holographic dark energy model","Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics","683.0","2-3","10.1016/j.physletb.2009.12.021","1","1","1.0"
"Paul C.R.C.","2005","Interpreting bioevents: What exactly did happen to planktonic foraminifers across the Cretaceous-Tertiary boundary?","Palaeogeography, Palaeoclimatology, Palaeoecology","224","1-3","10.1016/j.palaeo.2005.03.038","1","1","1.0"
"Prokop P., Fančovičová J.","2011","The Effect of Owning Animals on Perceived Vulnerability to, and Avoidance of, Parasitic Diseases in Humans","Journal of Individual Differences","32","3","10.1027/1614-0001/a000045","1","1","1.0"
"Arbatov A.","2006","Nuclear deterrence and proliferation: The dialectics of ""doomsday weapons""","Russian Politics and Law","44","5","10.2753/RUP1061-1940440503","1","1","1.0"
"Coates J.F.","2009","Risks and threats to civilization, humankind, and the earth","Futures","41","10","10.1016/j.futures.2009.07.010","1","1","1.0"
"Fullerton A.H., Lindley S.T., Pess G.R., Feist B.E., Steel E.A., Mcelhany P.","2011","Human Influence on the Spatial Structure of Threatened Pacific Salmon Metapopulations","Conservation Biology","25","5","10.1111/j.1523-1739.2011.01718.x","1","1","1.0"
"Cahill A.","2011","Protecting rights in the face of scarcity: The right to water","Forgotten Genocides: Oblivion, Denial, and Memory","","","","1","1","1.0"
"Bruggeman V., Faure M.G., Fiore K.","2010","The government as reinsurer of catastrophe risks","Geneva Papers on Risk and Insurance: Issues and Practice","35","3","10.1057/gpp.2010.10","1","1","1.0"
"Gallet Y., Weeks R., Vandamme D., Courtillot V.","1989","Duration of Deccan trap volcanism: a statistical approach","Earth and Planetary Science Letters","93","2","10.1016/0012-821X(89)90075-7","1","1","1.0"
"Penswick D., Gilliland K.","2000","The e-mine","Australasian Institute of Mining and Metallurgy Publication Series","","7","","1","1","1.0"
"Lave L.B., Menkes J.","1985","Managing Risk: A Joint U.S.‐German Perspective","Risk Analysis","5","1","10.1111/j.1539-6924.1985.tb00148.x","1","1","1.0"
"Errahmani A., Ouali T., Martín-Moruno P., Tavakoli Y., Bouhmadi-López M.","2015","The little sibling of the big rip singularity","International Journal of Modern Physics D","24","10","10.1142/S0218271815500789","1","1","1.0"
"Olson N.","2014","The Values and Directions of Uploaded Minds","Intelligence Unbound: The Future of Uploaded and Machine Minds","","","10.1002/9781118736302.ch14","1","1","1.0"
"Chen L.J., Peng S., Liao A.P., Cao X., Chen J., He C.Y., Lin Z.H., Li L., Pang Z.G., Sun F.D., Li Y.","2014","Preliminary analysis of spatiotemporal pattern of global land surface water","Science China Earth Sciences","57","10","10.1007/s11430-014-4929-x","1","1","1.0"
"Paquet J., Mokhov S.A., Tong X.","2008","Design and implementation of context calculus in the GIPSY environment","Proceedings - International Computer Software and Applications Conference","","","10.1109/COMPSAC.2008.200","1","1","1.0"
"Openshaw S., Steadman P.","1985","Doomsday revisited.","The geography of peace and war","","","","1","1","1.0"
"Massarutto A., Paccagnan V., Linares E.","2008","Private management and public finance in the Italian water industry: A marriage of convenience?","Water Resources Research","44","12","10.1029/2007WR006443","1","1","1.0"
"Nakazawa M.","2004","Model analysis of the human survival in the regional ecosystem","Kitakanto Medical Journal","54","3","","1","1","1.0"
"Tao Z.-R., Tao X.-X.","2004","Elementary study on earthquake catastrophe bonds","Journal of Natural Disasters","13","6","","1","1","1.0"
"Ulutas E., Inan A., Annunziato A.","2012","Web-based tsunami early warning system: A case study of the 2010 Kepulaunan Mentawai Earthquake and Tsunami","Natural Hazards and Earth System Science","12","6","10.5194/nhess-12-1855-2012","1","1","1.0"
"Garrido A., Bielza M., Rey D., Mínguez M.I., Ruiz-Ramos M.","2011","Insurance as an adaptation to climate variability in agriculture","Handbook on Climate Change and Agriculture","","","","1","1","1.0"
"Verguet S., Lim S.S., Murray C.J.L., Gakidou E., Salomon J.A.","2013","Incorporating loss to follow-up in estimates of survival among HIV-infected individuals in sub-saharan Africa enrolled in antiretroviral therapy programs","Journal of Infectious Diseases","207","1","10.1093/infdis/jis635","1","1","1.0"
"Chyba C., Sagan C.","1992","Endogenous production, exogenous delivery and impact-shock synthesis of organic molecules: An inventory for the origins of life","Nature","355","6356","","1","1","1.0"
"Wessinger C.","2011","Millennialism in Cross-Cultural Perspective","The Oxford Handbook of Millennialism","","","10.1093/oxfordhb/9780195301052.003.0001","1","1","1.0"
"Haller B.","2007","Apocalypse obfuscated","New Scientist","196","2634","10.1016/S0262-4079(07)63137-6","1","1","1.0"
"Lee A.M.","1972","Modern civilization and human survival: A social-scientific viewt","World Futures","12","1-2","10.1080/02604027.1972.9971803","1","1","1.0"
"Garshnek V., Morrison D., Burkle Jr. F.M.","2000","The mitigation, management, and survivability of asteroid/comet impact with earth","Space Policy","16","3","","1","1","1.0"
"Benin V.L., Masalimova A.R.","2016","Conflict humanitarian and natural knowledge: The way to exit from it","International Journal of Environmental and Science Education","11","13","","1","1","1.0"
"Munévar G.","2014","Space exploration and human survival","Space Policy","30","4","10.1016/j.spacepol.2014.10.002","1","1","1.0"
"Nowviskie B.","2015","Digital humanities in the Anthropocene","Digital Scholarship in the Humanities","30","","10.1093/llc/fqv015","1","1","1.0"
"Samake D.","1993","Africa and the environment. Desertification and the phenomenon of drought. Deforestation and reforestation [Afrique et environnement: desertification et phenomene de secheresse, deforestation et reboisement.]","Famille et developpement","","64","","1","1","1.0"
"Danchin P.G.","2010","United Nations reform and the new collective security","United Nations Reform and the New Collective Security","","","10.1017/CBO9780511675966","1","1","1.0"
"Petrova E.","2008","Natural hazards as pre-conditions of technological disasters in Russia","Georisk","2","4","10.1080/17499510802369124","1","1","1.0"
"Fish C., Feldman E.A.","2016","Governing disasters: The challenge of global disaster law and policy","Comparative Law and Regulation: Understanding the Global Regulatory Process","","","10.4337/9781782545613","1","1","1.0"
"Fawcett P.J., Boslough M.B.E.","2002","Climatic effects of an impact-induced equatorial debris ring","Journal of Geophysical Research Atmospheres","107","15","10.1023/A:1013774025349","1","1","1.0"
"Hobbs B.F., Luo Y., Maciejowski M.E., Chester C.V.","1989","WATER SUPPLY IMPACTS OF NUCLEAR FALL","JAWRA Journal of the American Water Resources Association","25","1","10.1111/j.1752-1688.1989.tb05661.x","1","1","1.0"
"Wang W., Gui Y., Zhang S., Guo G., Shao Y.","2005","The unified equation of state for dark matter and dark energy","Modern Physics Letters A","20","19","10.1142/S0217732305016877","1","1","1.0"
"Lei Hongjiang","1984","Population control and ecological stability ( China).","Dili Zhishi/Geographical Knowledge","6","","","1","1","1.0"
"Shroder J.","2014","Editorial Foreword","Hazards, Risks and, Disasters in Society","","","10.1016/B978-0-12-396451-9.06001-7","1","1","1.0"
"Budja M.","2015","Archaeology and rapid climate changes: From the collapse concept to a panarchy interpretative model","Documenta Praehistorica","42","","10.4312/dp.42.11","1","1","1.0"
"Levene M., Conversi D.","2014","Subsistence societies, globalisation, climate change and genocide: Discourses of vulnerability and resilience","International Journal of Human Rights","18","3","10.1080/13642987.2014.914702","1","1","1.0"
"Pindyck R.S.","2011","Fat tails, thin tails, and climate change policy","Review of Environmental Economics and Policy","5","2","10.1093/reep/rer005","1","1","1.0"
"Hartley J.","2010","Attack of the creationist reverberators! or: The end of the World (As We Know It)","Popular Communication","8","3","10.1080/15405702.2010.493434","1","1","1.0"
"Lewis J.","2012","Global media apocalypse: Pleasure, violence and the cultural imaginings of doom","Global Media Apocalypse: Pleasure, Violence and the Cultural Imaginings of Doom","","","10.1057/9781137005458","1","1","1.0"
"Nicholson N.K., Esseks J.D.","1978","The politics of food scarcities in developing countries","International Organization","32","3","10.1017/S0020818300031908","1","1","1.0"
